Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,3(6x1:00/1:00),,,Name:,Tom Oarlock,,,Firmware:,001.01,,,Boat ID:,BOAT
Start Time:,03/03/17 09:35am,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,1
Type:,Interval,,,Serial:,2145957,,,,,,,Port Starboard:,Starboard
System of Units:,Meters/Split500,,,Firmware Version:,2.12,,,,,,,Oar Length:,285
Speed Input:,GPS,,,Profile Version:,0.02,,,,,,,Inboard Length:,88
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.27


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
18,5106.2,0.0,00:18:00.0,00:01:45.9,4.72,00:00:00.0,0.00,34,613,8,0,153,405,-66,3,44,10,362,713,656,-5,30.2466,-97.7251


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,283.9,0.0,00:01:00.0,00:01:45.7,4.73,00:00:00.0,0.00,32,32,9,0,135,391,-66,4,45,12,363,731,671,-6,30.2466,-97.7251
2,283.8,0.0,00:01:00.0,00:01:45.9,4.72,00:00:00.0,0.00,32,32,9,0,153,384,-66,4,44,11,354,712,666,-5,30.2484,-97.7296
3,273.9,0.0,00:01:00.0,00:01:49.6,4.56,00:00:00.0,0.00,32,32,9,0,156,389,-66,4,44,10,365,737,689,-5,30.2492,-97.7328
4,271.9,0.0,00:01:00.0,00:01:50.3,4.53,00:00:00.0,0.00,32,32,8,0,153,383,-66,4,45,10,356,718,671,-4,30.2476,-97.7286
5,286.4,0.0,00:01:00.0,00:01:44.8,4.77,00:00:00.0,0.00,32,32,9,0,156,403,-67,3,45,11,367,751,693,-5,30.247,-97.726
6,285.4,0.0,00:01:00.0,00:01:45.2,4.75,00:00:00.0,0.00,32,33,9,0,156,393,-67,4,45,10,354,722,665,-4,30.2487,-97.7304
7,290.1,0.0,00:01:00.0,00:01:43.5,4.83,00:00:00.0,0.00,34,34,9,0,139,403,-66,3,44,10,359,715,654,-6,30.2468,-97.7255
8,288.5,0.0,00:01:00.0,00:01:44.1,4.80,00:00:00.0,0.00,34,34,8,0,156,408,-66,3,44,10,360,717,656,-5,30.2485,-97.7298
9,269.3,0.0,00:01:00.0,00:01:51.6,4.48,00:00:00.0,0.00,33,34,8,0,158,418,-66,3,44,9,378,753,670,-4,30.2494,-97.7329
10,271.1,0.0,00:01:00.0,00:01:50.8,4.51,00:00:00.0,0.00,34,34,8,0,163,390,-65,3,43,9,353,689,646,-5,30.2478,-97.7287
11,289.6,0.0,00:01:00.0,00:01:43.7,4.82,00:00:00.0,0.00,34,34,9,0,161,409,-67,3,44,10,359,716,656,-5,30.2471,-97.7262
12,288.6,0.0,00:01:00.0,00:01:44.1,4.80,00:00:00.0,0.00,34,33,9,0,163,402,-66,4,44,8,357,719,664,-4,30.2488,-97.7306
13,289.7,0.0,00:01:00.0,00:01:43.7,4.82,00:00:00.0,0.00,36,36,8,0,110,408,-66,3,43,12,355,691,628,-7,30.2468,-97.7256
14,290.8,0.0,00:01:00.0,00:01:43.3,4.84,00:00:00.0,0.00,36,36,8,0,145,413,-66,3,42,11,357,699,640,-7,30.2486,-97.7302
15,269.2,0.0,00:01:00.0,00:01:51.6,4.48,00:00:00.0,0.00,34,34,8,0,161,395,-64,4,43,8,362,702,649,-4,30.2493,-97.7329
16,272.4,0.0,00:01:00.0,00:01:50.1,4.54,00:00:00.0,0.00,34,35,8,0,163,389,-65,4,42,9,350,672,629,-5,30.2477,-97.7288
17,300.3,0.0,00:01:00.0,00:01:40.0,5.00,00:00:00.0,0.00,38,37,8,0,166,449,-64,3,42,8,380,715,652,-5,30.2471,-97.7264
18,301.1,0.0,00:01:00.0,00:01:39.8,5.01,00:00:00.0,0.00,39,39,8,0,169,452,-64,3,41,9,375,695,629,-6,30.2488,-97.7307



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,8.8,0.0,00:00:01.4,00:01:45.9,4.72,00:00:00.0,0.00,30,1,8.78,0.00,116,384,-69,6,47,13,364,737,672,-7,30.2467,-97.7252
1,18.2,0.0,00:00:03.4,00:01:46.3,4.70,00:00:00.0,0.00,30,2,9.45,0.00,116,355,-68,5,45,13,351,732,654,-8,30.2467,-97.7253
1,27.5,0.0,00:00:05.4,00:01:44.8,4.77,00:00:00.0,0.00,32,3,9.30,0.00,126,385,-66,4,47,13,336,725,656,-6,30.2467,-97.7253
1,36.0,0.0,00:00:07.2,00:01:47.5,4.65,00:00:00.0,0.00,32,4,8.52,0.00,131,413,-68,4,45,12,389,780,729,-5,30.2468,-97.7254
1,43.9,0.0,00:00:09.0,00:01:48.6,4.60,00:00:00.0,0.00,32,5,7.84,0.00,133,393,-66,4,45,13,349,756,708,-3,30.2468,-97.7255
1,54.0,0.0,00:00:11.0,00:01:43.7,4.82,00:00:00.0,0.00,32,6,10.09,0.00,135,443,-67,4,46,12,389,797,753,-6,30.2468,-97.7256
1,62.6,0.0,00:00:12.8,00:01:43.3,4.84,00:00:00.0,0.00,32,7,8.65,0.00,138,380,-66,4,45,14,352,688,653,-7,30.2469,-97.7257
1,71.2,0.0,00:00:14.6,00:01:45.2,4.75,00:00:00.0,0.00,34,8,8.59,0.00,140,467,-66,2,49,12,403,846,764,-5,30.2469,-97.7258
1,79.8,0.0,00:00:16.4,00:01:45.7,4.73,00:00:00.0,0.00,32,9,8.57,0.00,140,427,-68,3,46,12,379,778,717,-5,30.247,-97.7258
1,87.7,0.0,00:00:18.2,00:01:45.9,4.72,00:00:00.0,0.00,32,10,7.86,0.00,140,425,-68,4,46,12,386,779,700,-9,30.247,-97.7259
1,97.0,0.0,00:00:20.0,00:01:42.8,4.86,00:00:00.0,0.00,32,11,9.38,0.00,142,378,-67,4,45,12,350,693,616,-2,30.247,-97.726
1,106.4,0.0,00:00:22.0,00:01:43.0,4.85,00:00:00.0,0.00,32,12,9.35,0.00,144,395,-67,4,44,12,375,743,711,-7,30.2471,-97.7261
1,114.9,0.0,00:00:24.1,00:01:45.7,4.73,00:00:00.0,0.00,32,13,8.51,0.00,146,377,-67,5,45,13,352,705,647,-5,30.2471,-97.7262
1,123.3,0.0,00:00:25.6,00:01:45.9,4.72,00:00:00.0,0.00,32,14,8.46,0.00,147,412,-67,4,46,12,378,755,697,-5,30.2471,-97.7262
1,132.6,0.0,00:00:27.6,00:01:46.8,4.68,00:00:00.0,0.00,32,15,9.21,0.00,148,404,-65,4,46,14,388,756,729,-7,30.2472,-97.7263
1,141.1,0.0,00:00:29.4,00:01:46.1,4.71,00:00:00.0,0.00,32,16,8.57,0.00,149,402,-67,5,45,11,372,744,704,-5,30.2472,-97.7264
1,149.7,0.0,00:00:31.2,00:01:46.8,4.68,00:00:00.0,0.00,32,17,8.55,0.00,150,374,-66,5,45,14,358,699,656,-5,30.2472,-97.7265
1,157.5,0.0,00:00:33.1,00:01:47.2,4.66,00:00:00.0,0.00,32,18,7.84,0.00,150,392,-65,4,47,10,364,725,662,-6,30.2472,-97.7266
1,167.5,0.0,00:00:35.0,00:01:42.8,4.86,00:00:00.0,0.00,32,19,10.02,0.00,0,394,-68,4,46,10,377,745,675,-6,30.2473,-97.7267
1,176.1,0.0,00:00:36.8,00:01:43.5,4.83,00:00:00.0,0.00,33,20,8.53,0.00,0,401,-68,5,45,12,358,735,639,-6,30.2473,-97.7267
1,184.8,0.0,00:00:38.6,00:01:45.2,4.75,00:00:00.0,0.00,32,21,8.77,0.00,191,426,-67,2,46,12,376,775,702,-3,30.2473,-97.7268
1,194.4,0.0,00:00:40.6,00:01:44.3,4.79,00:00:00.0,0.00,32,22,9.53,0.00,153,393,-66,3,45,11,372,735,672,-6,30.2474,-97.7269
1,203.1,0.0,00:00:42.4,00:01:44.8,4.77,00:00:00.0,0.00,32,23,8.73,0.00,156,367,-65,4,46,11,345,691,635,-7,30.2474,-97.727
1,211.7,0.0,00:00:44.2,00:01:43.5,4.83,00:00:00.0,0.00,32,24,8.64,0.00,154,406,-67,4,47,12,376,759,703,-6,30.2474,-97.7271
1,221.1,0.0,00:00:46.2,00:01:44.8,4.77,00:00:00.0,0.00,32,25,9.38,0.00,155,380,-66,4,47,12,358,715,661,-8,30.2475,-97.7272
1,229.0,0.0,00:00:48.0,00:01:46.1,4.71,00:00:00.0,0.00,32,26,7.90,0.00,156,352,-68,5,47,13,325,679,587,-8,30.2475,-97.7272
1,238.2,0.0,00:00:49.8,00:01:43.5,4.83,00:00:00.0,0.00,32,27,9.21,0.00,155,378,-68,5,45,13,353,704,652,-8,30.2475,-97.7273
1,247.5,0.0,00:00:51.8,00:01:44.8,4.77,00:00:00.0,0.00,32,28,9.26,0.00,158,371,-67,4,45,12,353,694,638,-10,30.2476,-97.7274
1,256.0,0.0,00:00:53.6,00:01:46.6,4.69,00:00:00.0,0.00,32,29,8.54,0.00,158,369,-67,4,46,12,351,688,607,-7,30.2476,-97.7275
1,265.3,0.0,00:00:55.6,00:01:46.6,4.69,00:00:00.0,0.00,32,30,9.26,0.00,158,360,-65,4,46,12,345,677,625,-4,30.2476,-97.7276
1,273.1,0.0,00:00:57.3,00:01:47.0,4.67,00:00:00.0,0.00,32,31,7.79,0.00,158,366,-68,6,46,11,341,673,617,-5,30.2477,-97.7277
1,282.3,0.0,00:00:59.2,00:01:45.2,4.75,00:00:00.0,0.00,32,32,9.24,0.00,159,391,-67,2,45,13,361,727,663,-7,30.2477,-97.7278
1,---,---,---,---,---,---,---,---,32,---,---,---,362,-66,5,46,14,350,692,643,-6,---,---
1,---,---,---,---,---,---,---,---,32,---,---,---,387,-69,4,46,11,366,743,682,-8,---,---
2,9.2,0.0,00:00:01.6,00:01:49.1,4.58,00:00:00.0,0.00,32,1,9.23,0.00,131,370,-68,4,46,14,337,703,638,-4,30.2485,-97.7297
